ProbeName	P-value	Absolute Fold change([T] vs [N])	Regulation([T] vs [N])	type	seqname	GeneSymbol	source	RNAlength	chrom	strand
ASHG19A3A043876	2.81393E-06	2.327128969	up	noncoding	ENST00000436165	OR6D1P	Ensembl	939	chr10	+
ASHG19A3A041433	1.74028E-07	2.521541215	up	noncoding	ENST00000434365	RP1-241P17.3	Ensembl	1310	chrX	+
ASHG19A3A054534	1.86355E-08	2.814942409	up	noncoding	uc002ecu.2	IGH	UCSC_knowngene	161	chr16	+
ASHG19A3A028388	1.57469E-09	3.107206951	up	noncoding	ENST00000477662	CTD-2503O16.1	Ensembl	156	chr5	+
ASHG19A3A023632	8.65957E-08	2.926877381	up	noncoding	ENST00000433853	RP11-778D9.4	Ensembl	732	chr3	+
ASHG19A3A015206	9.29286E-10	3.941172967	up	noncoding	ENST00000436229	RP11-185B14.1	Ensembl	259	chr1	+
ASHG19A3A030249	5.44228E-07	2.303042753	up	noncoding	ENST00000403258	RP11-459O1.1	Ensembl	1108	chr6	-
ASHG19A3A016533	0.002162822	2.227405358	up	noncoding	uc001awz.2	CR622439	UCSC_knowngene	2770	chr1	+
ASHG19A3A034382	1.16872E-07	3.251345792	up	noncoding	ENST00000455912	RP11-1217F2.3	Ensembl	772	chr7	+
ASHG19A3A042598	7.2143E-10	3.570294117	up	noncoding	ENST00000442520	RP11-460H18.2	Ensembl	397	chr10	-
ASHG19A3A010989	1.13051E-07	2.114599178	up	noncoding	ENST00000503096	RP11-365D23.1	Ensembl	1137	chr1	-
ASHG19A3A013814	1.73934E-10	3.214221785	up	noncoding	ENST00000446011	AC016700.6	Ensembl	156	chr2	-
ASHG19A3A029813	8.79094E-07	4.082185004	up	noncoding	ENST00000339867	RP3-391O22.3	Ensembl	399	chr6	-
ASHG19A3A040396	1.6834E-07	4.73294864	up	noncoding	ENST00000451431	RP1-23K20.2	Ensembl	401	chrX	-
ASHG19A3A049124	1.59788E-10	5.472982891	up	noncoding	ENST00000485633	RP11-614L17.1	Ensembl	492	chr12	+
ASHG19A3A014896	5.00256E-05	4.320453298	up	noncoding	ENST00000415349	AC125238.4	Ensembl	1299	chr2	-
ASHG19A3A045696	7.5174E-07	3.159620542	up	noncoding	ENST00000393026	AP002884.1	Ensembl	1074	chr11	-
ASHG19A3A019753	8.29646E-09	2.013052019	up	noncoding	ENST00000413110	WI2-80423F1.1	Ensembl	372	chr22	-
ASHG19A3A033312	1.04537E-09	4.185851992	up	noncoding	NR_026660	RPL19P12	RefSeq_NR	1134	chr7	-
ASHG19A3A045807	4.81512E-05	2.31789231	up	noncoding	ENST00000497201	RP11-762B21.2	Ensembl	261	chr11	-
ASHG19A3A035539	1.5039E-08	2.529340326	up	noncoding	ENST00000483613	RP11-303G3.1	Ensembl	781	chr8	-
ASHG19A3A020292	3.00014E-11	3.846445588	up	noncoding	ENST00000437933	FTHL1	Ensembl	532	chr1	+
ASHG19A3A034974	1.69973E-10	3.450926149	up	noncoding	ENST00000393373	RP11-560I19.2	Ensembl	375	chr7	+
ASHG19A3A011811	4.71045E-05	2.069222083	up	noncoding	ENST00000413308	AC008753.2	Ensembl	775	chr19	-
ASHG19A3A046258	4.47713E-09	3.684220664	up	noncoding	ENST00000473603	RP1-89D4.1	Ensembl	402	chr11	+
ASHG19A3A044172	1.3448E-08	2.699282113	up	noncoding	ENST00000442381	RP11-589B3.1	Ensembl	270	chr10	+
ASHG19A3A022418	7.40508E-09	4.038647134	up	noncoding	ENST00000446445	AC139452.2	Ensembl	471	chr3	+
ASHG19A3A055333	1.65419E-09	2.485464907	up	noncoding	uc011mvt.1	AB062081	UCSC_knowngene	407	chrX	+
ASHG19A3A027361	2.09126E-09	2.658810027	up	noncoding	ENST00000414070	RP11-20O24.4	Ensembl	555	chr1	+
ASHG19A3A030721	6.70477E-09	2.066305495	up	noncoding	ENST00000492974	RP11-475C16.1	Ensembl	476	chr6	-
ASHG19A3A045018	1.06372E-06	4.651911767	up	noncoding	ENST00000473882	RPL36AP40	Ensembl	321	chr11	-
ASHG19A3A040973	1.86328E-05	2.352070951	up	noncoding	ENST00000418784	CTD-2090I13.4	Ensembl	283	chr1	+
ASHG19A3A034458	1.63901E-09	3.577386991	up	noncoding	NR_033416	CCT6P3	RefSeq_NR	2244	chr7	+
ASHG19A3A016255	0.001453465	2.364133491	up	noncoding	ENST00000435623	AC012365.1	Ensembl	950	chr2	+
ASHG19A3A036712	3.91248E-07	2.28678664	up	noncoding	ENST00000446498	RP3-476K8.4	Ensembl	535	chr1	-
CUST_2_PI426265844	2.44561E-05	2.392404075	up	noncoding	AK023948	AK023948	lncRNAdb	2807	chr8	+
ASHG19A3A041482	1.97274E-08	3.175902524	up	noncoding	ENST00000316450	RP11-349N19.2	Ensembl	402	chrX	+
ASHG19A3A050452	4.09911E-05	2.237707912	up	noncoding	ENST00000455851	RP11-217F17.1	Ensembl	743	chr13	+
ASHG19A3A022375	2.94359E-08	3.109388606	up	noncoding	ENST00000458542	AC092798.2	Ensembl	409	chr3	+
ASHG19A3A016930	5.39849E-10	2.66871498	up	noncoding	ENST00000457497	AC016708.2	Ensembl	318	chr2	+
ASHG19A3A050203	1.30668E-06	4.622965534	up	noncoding	uc001vfo.1	D28359	UCSC_knowngene	2420	chr13	+
ASHG19A3A028869	2.47621E-08	2.790685976	up	noncoding	ENST00000513338	AC138517.4	Ensembl	1861	chr5	+
ASHG19A3A022876	1.50164E-06	5.550194975	up	noncoding	ENST00000485383	RP11-598F17.1	Ensembl	1386	chr3	+
ASHG19A3A044330	6.26021E-07	2.50880878	up	noncoding	ENST00000398190	RP11-7D5.2	Ensembl	775	chr10	+
ASHG19A3A013694	2.02452E-07	2.914607432	up	noncoding	ENST00000439197	AC016727.3	Ensembl	166	chr2	-
ASHG19A3A047793	9.11667E-08	2.107599555	up	noncoding	ENST00000483913	RP11-254B13.1	Ensembl	885	chr12	-
ASHG19A3A050672	3.88122E-08	3.746818136	up	noncoding	ENST00000423806	AL163052.1	Ensembl	273	chr14	-
ASHG19A3A026806	3.93597E-06	2.516421442	up	noncoding	uc003jqp.2	BC071555	UCSC_knowngene	2841	chr5	-
ASHG19A3A010642	2.0775E-05	5.065291957	up	noncoding	ENST00000455137	RP11-565N2.2	Ensembl	285	chr1	-
ASHG19A3A024777	2.94523E-08	3.835670432	up	noncoding	ENST00000321285	RP11-308D13.2	Ensembl	410	chr4	-
ASHG19A3A044468	4.95963E-06	11.40607432	up	noncoding	ENST00000429110	RP11-432B10.1	Ensembl	528	chr10	+
ASHG19A3A016166	1.14901E-07	3.504940193	up	noncoding	ENST00000436665	AC013268.5	Ensembl	2145	chr2	+
ASHG19A3A009149	4.33361E-05	2.200163228	up	noncoding	ENST00000452091	AC005517.3	Ensembl	489	chr17	+
ASHG19A3A028025	9.10129E-07	2.1493755	up	noncoding	NR_027028	GUSBP1	RefSeq_NR	703	chr5	+
ASHG19A3A023181	0.008607203	2.19360034	up	noncoding	ENST00000433902	RP13-685P2.5	Ensembl	486	chr3	+
ASHG19A3A033293	3.97217E-06	2.178516852	up	noncoding	ENST00000433904	CTA-313A17.2	Ensembl	331	chr7	-
ASHG19A3A013540	1.77195E-09	2.986010834	up	noncoding	ENST00000414823	AC009413.2	Ensembl	399	chr2	-
ASHG19A3L0000086	2.28935E-11	4.987050251	up	noncoding	BI048312	lincRNA-WNT9A	lincRNA	393	chr1	+
ASHG19A3A044791	3.07247E-06	2.419063086	up	noncoding	ENST00000426436	AC127526.2	Ensembl	775	chr11	-
ASHG19A3A013654	1.55198E-05	3.597927178	up	noncoding	CR609715		misc_RNA	1695	chr1	-
ASHG19A3A047166	5.76748E-06	3.919128491	up	noncoding	uc001qhs.2	BC112333	UCSC_knowngene	1946	chr11	+
ASHG19A3A007484	3.25542E-07	3.854104796	up	noncoding	NR_027169	NCRNA00188	RefSeq_NR	1068	chr17	+
ASHG19A3A016098	2.02177E-09	3.926312945	up	noncoding	ENST00000415161	AC068535.5	Ensembl	451	chr2	+
ASHG19A3A028765	1.51802E-05	2.12581293	up	noncoding	ENST00000498453	RP11-114H7.1	Ensembl	532	chr5	+
ASHG19A3A035767	1.53258E-06	4.164759575	up	noncoding	ENST00000498403	RP11-1070A24.1	Ensembl	237	chr8	-
ASHG19A3A025438	1.29834E-07	2.491075475	up	noncoding	ENST00000447415	RP4-612B15.2	Ensembl	555	chr1	+
ASHG19A3A044425	8.31049E-09	4.953585774	up	noncoding	uc001kvq.1	AL050035	UCSC_knowngene	1287	chr10	+
ASHG19A3A022354	0.00037402	2.475885448	up	noncoding	ENST00000452569	AC121253.1	Ensembl	648	chr3	+
ASHG19A3A041889	2.43068E-07	2.161259951	up	noncoding	ENST00000415776	ACTG1P2	Ensembl	1125	chrY	-
ASHG19A3A048143	0.000137994	2.735864641	up	noncoding	ENST00000472241	RP11-338K17.1	Ensembl	394	chr12	-
ASHG19A3A024800	1.06705E-05	2.184001156	up	noncoding	ENST00000512366	RP11-481K16.2	Ensembl	460	chr4	-
ASHG19A3A031674	2.79829E-07	3.363726686	up	noncoding	ENST00000444820	RP11-442B12.1	Ensembl	576	chr6	+
ASHG19A3A034386	0.002628986	2.591422532	up	noncoding	ENST00000435196	RP11-1217F2.6	Ensembl	415	chr7	+
CUST_88_PI426075208	0.008282399	2.75128734	up	noncoding	nc-HOXB2-162+	nc-HOXB2-162	HOX cluster	178	chr17	+
ASHG19A3A039776	0.000158716	2.32920304	up	noncoding	ENST00000445028	RP11-315O19.1	Ensembl	1534	chrX	-
ASHG19A3A011063	2.33813E-07	3.826170508	up	noncoding	ENST00000444945	CTC-499B15.3	Ensembl	962	chr19	-
ASHG19A3A009002	0.000969101	2.219694054	up	noncoding	ENST00000413077	AC012146.7	Ensembl	474	chr17	+
ASHG19A3A042336	2.67058E-09	3.575019885	up	noncoding	ENST00000430973	AL672183.2	Ensembl	463	chr1	+
ASHG19A3A042452	1.38453E-10	5.353302336	up	noncoding	ENST00000456003	RP11-730A19.4	Ensembl	220	chr10	-
ASHG19A3A045747	0.001826229	2.141458264	up	noncoding	uc009yzx.1	AK289390	UCSC_knowngene	2435	chr11	-
ASHG19A3A025925	7.27494E-08	2.900556724	up	noncoding	ENST00000479865	RP11-119H12.1	Ensembl	435	chr4	+
ASHG19A3A021687	1.39116E-09	2.352899337	up	noncoding	ENST00000492841	RP11-340E6.2	Ensembl	512	chr3	-
ASHG19A3A041559	0.013008431	4.210884896	up	noncoding	ENST00000422385	RP11-308B5.4	Ensembl	577	chrX	+
ASHG19A3A024626	5.68174E-08	3.834600745	up	noncoding	ENST00000512518	RP11-402J6.2	Ensembl	299	chr4	-
ASHG19A3A014930	6.59416E-10	5.613795461	up	noncoding	ENST00000432393	AC093698.2	Ensembl	498	chr2	-
ASHG19A3A053323	3.63581E-06	3.682383662	up	noncoding	NR_003659	WASH3P	RefSeq_NR	2590	chr15	+
ASHG19A3A012310	9.05132E-07	2.809177425	up	noncoding	ENST00000500959	AC012318.2	Ensembl	1469	chr19	+
ASHG19A3A015639	4.31262E-08	2.253929931	up	noncoding	ENST00000448289	RP4-647M16.1	Ensembl	150	chr1	+
ASHG19A3A024026	2.51808E-06	2.555104872	up	noncoding	ENST00000514223	RP11-496D24.1	Ensembl	265	chr4	-
ASHG19A3A013832	7.18485E-10	2.491735788	up	noncoding	ENST00000451209	AC067950.1	Ensembl	253	chr2	-
ASHG19A3A016146	4.997E-07	3.656727667	up	noncoding	uc002tel.2	BC022365	UCSC_knowngene	1720	chr2	+
ASHG19A3A037145	1.22335E-11	3.523690715	up	noncoding	ENST00000435405	RP11-132E11.4	Ensembl	301	chr9	-
ASHG19A3A027416	4.20096E-11	3.663706584	up	noncoding	ENST00000501056	CTB-36O1.7	Ensembl	747	chr5	-
ASHG19A3A013674	2.20363E-06	3.100113753	up	noncoding	ENST00000434096	AC007238.1	Ensembl	1741	chr2	-
ASHG19A3A043935	3.96161E-08	2.188914849	up	noncoding	ENST00000413846	RP11-526K21.2	Ensembl	330	chr10	+
ASHG19A3A032769	3.071E-08	3.142374513	up	noncoding	ENST00000339545	AC073325.2	Ensembl	159	chr7	-
ASHG19A3A048321	3.2352E-07	2.405329247	up	noncoding	ENST00000480485	RP11-277J24.1	Ensembl	329	chr12	+
ASHG19A3A019426	0.005342909	4.395555455	up	noncoding	ENST00000458718	AC006548.20	Ensembl	348	chr22	-
CUST_20_PI426265844	3.22518E-07	19.92582141	up	noncoding	AF080092	TncRNA	lncRNAdb	481	chr11	+
ASHG19A3A049343	3.25431E-08	2.396187385	up	noncoding	ENST00000456044	RP11-545M8.3	Ensembl	356	chr13	-
ASHG19A3A029173	3.1186E-06	3.079974628	up	noncoding	ENST00000505273	RP11-267A15.2	Ensembl	288	chr5	+
ASHG19A3A040302	9.51082E-09	6.15671759	up	noncoding	uc004eqf.2	CR614076	UCSC_knowngene	1003	chrX	-
ASHG19A3A043699	1.7595E-11	3.42898668	up	noncoding	ENST00000419532	RP11-573G6.2	Ensembl	356	chr10	+
ASHG19A3A010464	4.66462E-09	3.40467235	up	noncoding	ENST00000451736	RP11-343H5.4	Ensembl	433	chr1	-
ASHG19A3A035959	1.54762E-08	4.109084029	up	noncoding	ENST00000466433	CTC-788C1.1	Ensembl	354	chr8	-
ASHG19A3A052065	2.27382E-08	2.592754605	up	noncoding	ENST00000487100	RP11-473C18.1	Ensembl	792	chr15	-
ASHG19A3A040726	2.97651E-05	2.151998521	up	noncoding	ENST00000416049	RP5-958B3.2	Ensembl	131	chrX	+
ASHG19A3A037888	2.5316E-07	3.643706193	up	noncoding	ENST00000418441	RP11-151F5.2	Ensembl	478	chr9	-
ASHG19A3A046990	1.82972E-09	6.727882299	up	noncoding	ENST00000444127	RP11-518D3.4	Ensembl	582	chr1	-
ASHG19A3A030790	6.0664E-08	3.199207348	up	noncoding	ENST00000404178	RP11-157L10.1	Ensembl	291	chr6	-
ASHG19A3A039475	3.35595E-08	3.003590777	up	noncoding	ENST00000427600	RP11-543B16.1	Ensembl	361	chr1	+
ASHG19A3A028380	3.02356E-08	2.742686324	up	noncoding	ENST00000457967	RP11-389O22.4	Ensembl	410	chr1	+
ASHG19A3A014009	1.43057E-09	3.695407683	up	noncoding	ENST00000426492	AC073464.8	Ensembl	504	chr2	-
ASHG19A3A027163	0.000222751	3.73252287	up	noncoding	ENST00000512863	RP11-474J18.4	Ensembl	1461	chr5	-
ASHG19A3A014506	1.73026E-10	3.027531702	up	noncoding	ENST00000440805	AC092662.1	Ensembl	661	chr2	-
ASHG19A3A028900	4.40203E-06	3.446318202	up	noncoding	ENST00000513215	VTRNA1-3	Ensembl	245	chr5	+
ASHG19A3A013933	0.011221056	2.328729023	up	noncoding	ENST00000411597	AC078974.2	Ensembl	223	chr2	-
ASHG19A3A034135	0.00211834	2.160933217	up	noncoding	ENST00000496846	AC006978.6	Ensembl	1234	chr7	+
ASHG19A3A015346	3.67218E-08	4.976400277	up	noncoding	ENST00000398740	RP11-120J4.1	Ensembl	305	chr2	+
ASHG19A3A031148	0.000584304	2.109618683	up	noncoding	ENST00000401954	XXbac-BPG34I8.2	Ensembl	943	chr6	+
ASHG19A3A007353	4.0454E-05	3.944504327	up	noncoding	NR_024598	C11orf73	RefSeq_NR	949	chr11	+
ASHG19A3A031658	3.66523E-08	2.541186394	up	noncoding	ENST00000407033	RP11-472M19.3	Ensembl	555	chr6	+
ASHG19A3A009329	1.43705E-11	5.672054494	up	noncoding	uc002hec.1	AL110163	UCSC_knowngene	2917	chr17	+
ASHG19A3A048391	5.09709E-08	4.106343361	up	noncoding	ENST00000475592	RP11-392P7.1	Ensembl	756	chr12	+
ASHG19A3A045192	2.94381E-07	2.417386353	up	noncoding	ENST00000483219	RP11-624G17.1	Ensembl	789	chr11	-
ASHG19A3A049110	9.30049E-08	4.892151403	up	noncoding	NR_001577	NME2P1	RefSeq_NR	693	chr12	+
ASHG19A3A043901	4.33073E-11	6.311788631	up	noncoding	ENST00000406997	RP11-420K8.2	Ensembl	288	chr1	-
ASHG19A3A017090	2.03861E-10	4.709138649	up	noncoding	ENST00000412728	AC104634.2	Ensembl	464	chr2	+
ASHG19A3A018995	6.45509E-05	2.358516129	up	noncoding	ENST00000429427	C21orf122	Ensembl	967	chr21	-
ASHG19A3A045346	3.62075E-06	2.715514876	up	noncoding	ENST00000416622	RP11-329A14.2	Ensembl	474	chr1	-
ASHG19A3A040903	1.30995E-09	39.58556158	up	noncoding	uc011mlh.1	RNU12	UCSC_knowngene	544	chrX	+
ASHG19A3A049667	8.08739E-05	2.024485018	up	noncoding	uc001vjj.1	AX747962	UCSC_knowngene	2328	chr13	-
ASHG19A3A053096	1.67721E-07	3.58638325	up	noncoding	ENST00000326259	AC019294.7	Ensembl	441	chr15	+
ASHG19A3A052260	8.34415E-06	2.036331743	up	noncoding	ENST00000507324	RP11-702L15.1	Ensembl	1005	chr15	-
ASHG19A3A026970	1.23945E-07	3.900154403	up	noncoding	ENST00000506772	RP11-466P24.3	Ensembl	413	chr5	-
ASHG19A3A021706	8.13781E-11	3.444076401	up	noncoding	ENST00000477300	RP11-8J23.1	Ensembl	404	chr3	-
ASHG19A3A051205	7.22489E-09	2.752662054	up	noncoding	ENST00000392301	AB019441.29	Ensembl	627	chr14	-
ASHG19A3A029459	3.00675E-06	8.989570985	up	noncoding	ENST00000443504	RP11-686D16.1	Ensembl	381	chr6	-
ASHG19A3A014715	0.002718813	2.028889856	up	noncoding	ENST00000448912	AC104076.2	Ensembl	469	chr2	-
ASHG19A3A046758	6.68053E-11	3.715793942	up	noncoding	ENST00000462248	RP11-147I3.1	Ensembl	379	chr11	+
ASHG19A3L0002481	2.5722E-08	3.651440697	up	noncoding	BC050642	lincRNA-ENO1-1	lincRNA	1898	chr1	-
ASHG19A3A049292	2.4522E-07	3.862723489	up	noncoding	uc001uoa.1	AK098818	UCSC_knowngene	1936	chr13	-
ASHG19A3A051478	3.47476E-12	3.763934267	up	noncoding	ENST00000395150	RP11-112J1.1	Ensembl	375	chr14	+
ASHG19A3A032268	0.000975289	2.632414949	up	noncoding	ENST00000432358	RP11-732M18.3	Ensembl	424	chr6	+
ASHG19A3A033313	4.86875E-08	3.397453189	up	noncoding	ENST00000426806	RP11-401L13.5	Ensembl	265	chr7	-
ASHG19A3A038383	1.03903E-07	2.346282887	up	noncoding	ENST00000444159	RP11-490C5.1	Ensembl	742	chr9	+
ASHG19A3A008046	3.50982E-11	2.626864771	up	noncoding	uc002gvw.2	AB055772	UCSC_knowngene	932	chr17	-
ASHG19A3A015874	4.73306E-07	5.263599376	up	noncoding	ENST00000422418	RPL38	Ensembl	418	chr2	+
ASHG19A3A010120	3.67441E-06	2.077891091	up	noncoding	ENST00000490908	RP11-838N2.2	Ensembl	477	chr18	-
ASHG19A3A036943	9.03265E-09	2.622840057	up	noncoding	ENST00000479066	CTC-458A3.1	Ensembl	408	chr8	+
ASHG19A3A019088	4.38743E-13	9.872871934	up	noncoding	ENST00000282964	AP000568.2	Ensembl	442	chr21	+
ASHG19A3A017977	3.35812E-07	2.787124342	up	noncoding	NR_027700	NOP56	RefSeq_NR	2169	chr20	+
ASHG19A3A021271	6.68026E-11	3.846832199	up	noncoding	ENST00000462675	RP11-803B1.7	Ensembl	943	chr3	-
ASHG19A3A049323	2.11877E-08	3.941002232	up	noncoding	ENST00000428810	RP11-756A22.5	Ensembl	349	chr13	-
ASHG19A3A031077	1.29622E-07	4.819571997	up	noncoding	ENST00000493462	RP3-522P13.1	Ensembl	482	chr6	+
ASHG19A3A027862	2.29144E-07	2.272857634	up	noncoding	ENST00000412616	CTD-2012J19.1	Ensembl	1251	chr5	+
ASHG19A3A017661	0.024473278	2.083862345	up	noncoding	NR_027124	LOC339568	RefSeq_NR	1624	chr20	-
CUST_454_PI426073487	0.000130201	2.252467609	up	noncoding	uc.456+	uc.456	UCR	320	chr20	+
ASHG19A3A050282	7.72466E-09	3.462839241	up	noncoding	ENST00000440551	RP11-393H6.2	Ensembl	403	chr13	+
ASHG19A3A009555	2.08722E-06	2.766849745	up	noncoding	NR_003108	NBR2	RefSeq_NR	1371	chr17	+
ASHG19A3A055040	1.81425E-07	2.802956199	up	noncoding	ENST00000466297	RP11-314A20.1	Ensembl	402	chr17	-
ASHG19A3A029363	7.83139E-09	4.053109353	up	noncoding	ENST00000407959	RP1-182O16.1	Ensembl	354	chr6	-
ASHG19A3A009180	0.000529007	2.669921651	up	noncoding	ENST00000423783	AC055811.5	Ensembl	877	chr17	+
